Team Member,SYMBOL,NAME,SUBSIDIARY,PATENT NUMBER (OR YES/NO PATENTS ASSOCIATED WITH THIS NAME)
Peter,CAT,Caterpillar Inc,Caterpillar Financial Services Corporation,D1068889
Peter,CAT,Caterpillar Inc,"Underground Imaging Technologies, LLC",Y
Peter,CAT,Caterpillar Inc,"Bucyrus International, Inc.",Y
Peter,CAT,Caterpillar Inc,Caterpillar Marine Asset Intelligence LLC,20140336853
Peter,CAT,Caterpillar Inc,FG Wilson (Engineering) Limited,20090006018
Peter,CAT,Caterpillar Inc,Perkins Engines Company Limited,20250146769
Peter,CAT,Caterpillar Inc,Progress Rail Locomotive Inc.,Y
Peter,CAT,Caterpillar Inc,Solar Turbines Incorporated,Y
Peter,CAT,Caterpillar Inc,SPM Oil & Gas Inc.,Y
Peter,CAT,Caterpillar Inc,Turner Powertrain Systems Limited,Y
Peter,CRM,Salesforce Inc,"Slack Technologies, LLC",Y
Peter,CRM,Salesforce Inc,"Tableau Software, LLC",Y
Peter,CRM,Salesforce Inc,"MuleSoft, LLC",Y
Peter,CRM,Salesforce Inc,"Demandware, Inc.",Y
Peter,CRM,Salesforce Inc,"Quip, Inc.",Y
Peter,CRM,Salesforce Inc,"Beyondcore, Inc.",Y
Peter,CRM,Salesforce Inc,"Certinia, Inc.",Y
Peter,CRM,Salesforce Inc,"Clicksoftware, Inc.",Y
Peter,CRM,Salesforce Inc,Datorama Technologies Ltd.,Y
Peter,CRM,Salesforce Inc,Regrello Corp.,Y
Peter,CVX,Chevron Corp,Chevron Lummus Global LLC,Y
Peter,CVX,Chevron Corp,"Chevron Petroleum Technology Company, A Division of Chevron Corporation",Y
Peter,CVX,Chevron Corp,Chevron Texaco Corporation,Y
Peter,CVX,Chevron Corp,Chevron Research Company,Y
Peter,CVX,Chevron Corp,Texaco Inc.,Y
Peter,CVX,Chevron Corp,"Noble Energy, Inc.",Y
Peter,CVX,Chevron Corp,"Renewable Energy Group, Inc.",Y
Peter,CVX,Chevron Corp,Saudia Arabian Chevron Inc.,Y
Peter,CVX,Chevron Corp,Chevron U.S.A. Inc.,Y
Peter,CVX,Chevron Corp,Union Oil Company of California DBA Unocal,Y
Peter,DIS,Walt Disney Co,"ABC, Inc.",Y
Peter,DIS,Walt Disney Co,"ESPN Technology Services, Inc.",Y
Peter,DIS,Walt Disney Co,"Marvel Entertainment, LLC.",Y
Peter,DIS,Walt Disney Co,Pixar,Y
Peter,DIS,Walt Disney Co,"Disney Enterprises, Inc.",Y
Peter,DIS,Walt Disney Co,Walt Disney Imagineering,Y
Peter,DIS,Walt Disney Co,Walt Disney World Co.,Y
Peter,DIS,Walt Disney Co,The Walt Disney Company (Switzerland) GMBH,Y
Peter,DIS,Walt Disney Co,Walt Disney Pictures,Y
Peter,DIS,Walt Disney Co,Walt Disney Parks and Resorts,Y
Peter,GS,Goldman Sachs Group Inc,"Goldman, Sachs & Co. ",Y
Peter,GS,Goldman Sachs Group Inc,Goldman Sachs Bank USA,Y
Peter,GS,Goldman Sachs Group Inc,Goldman Sachs Credit Partners L.P.,Y
Peter,GS,Goldman Sachs Group Inc,"Goldman Sachs Specialty Lending Group, L.P.",Y
Peter,GS,Goldman Sachs Group Inc,"Goldman Sachs Asset Management, L.P.",Y
Peter,GS,Goldman Sachs Group Inc,Opal Resources Ltd.,Y
Peter,GS,Goldman Sachs Group Inc,Goldman Sachs Lending Partners LLC,Y
Peter,GS,Goldman Sachs Group Inc,Goldman Sachs Middle Market Lending Corp.,Y
Peter,GS,Goldman Sachs Group Inc,"Goldman Sachs Investment Partners Master Fund, L.P.",Y
Peter,GS,Goldman Sachs Group Inc,Boyd Corporation,Y
Peter,HD,Home Depot Inc,"Home Depot Product Authority, LLC",Y
Peter,HD,Home Depot Inc,"Homer TLC, Inc.",Y
Peter,HD,Home Depot Inc,"Home Depot U.S.A., LLC",Y
Peter,HD,Home Depot Inc,"HD Supply Distribution Services, LLC",Y
Peter,HD,Home Depot Inc,Interline Brands Inc.,Y
Peter,HD,Home Depot Inc,SRS Distribution Inc.,Y
Peter,HD,Home Depot Inc,CPM Compact Power Motors GMBH,Y
Peter,IBM,International Business Machine Corp,IBM Credit Corporation,Y
Peter,IBM,International Business Machine Corp,IBM International Group B.V. ,Y
Peter,IBM,International Business Machine Corp,"Red Hat, Inc.",Y
Peter,IBM,International Business Machine Corp,Merge Healthcare Incorporated,Y
Peter,IBM,International Business Machine Corp,"Softlayer Technologies, Inc.",Y
Peter,IBM,International Business Machine Corp,"Aspera Biomedicines, Inc.",Y
Peter,IBM,International Business Machine Corp,"Apptio, Inc.",Y
Peter,IBM,International Business Machine Corp,"Instana, Inc.",Y
Peter,JNJ,Johnson & Johnson,"Acclarent, Inc.",Y
Peter,JNJ,Johnson & Johnson,DePuy Synthes,Y
Peter,JNJ,Johnson & Johnson,"Cougar Biotechnology, Inc.",Y
Peter,JNJ,Johnson & Johnson,Ethicon,Y
Peter,JNJ,Johnson & Johnson,"Abiomed, Inc.",Y
Peter,JNJ,Johnson & Johnson,"Lifescan, Inc.",Y
Peter,JNJ,Johnson & Johnson,"Janssen Pharmaceuticals, Inc.",Y
Peter,JNJ,Johnson & Johnson,Neutrogena Corporation,Y
Peter,JNJ,Johnson & Johnson,Mentor Worldwide LLC,Y
Peter,JNJ,Johnson & Johnson,Verb Surgical Inc.,Y
Peter,JPM,JPMorgan Chase & Co,"Paymentech, LLC",Y
Peter,JPM,JPMorgan Chase & Co,"JPMorgan Chase Bank, National Association",Y
Peter,JPM,JPMorgan Chase & Co,"JP Morgan Chase Bank, N.A.",Y
Peter,JPM,JPMorgan Chase & Co,Chase Manhattan Bank,Y
Peter,JPM,JPMorgan Chase & Co,J.P. Morgan Securities LLC,Y
Peter,JPM,JPMorgan Chase & Co,One Equity Partners LLC,Y
Peter,JPM,JPMorgan Chase & Co,"WePay, Inc.",Y
Peter,JPM,JPMorgan Chase & Co,"J.P. Morgan Trust Company, N.A.",Y
Peter,JPM,JPMorgan Chase & Co,"J.P. Morgan Invest, Inc.",Y
Peter,JPM,JPMorgan Chase & Co,J.P. Morgan Europe Limited,Y
Peter,MCD,McDonald's Corporation,"McDonald's Company (Japan), Ltd.",Y
Peter,MCD,McDonald's Corporation,"Apprente, Inc",Y
Lilah,MMM,3M ,Aearo Company,Y
Lilah,MMM,3M ,3M Innovatve Properties Company,Y
Lilah,MMM,3M ,"Ceradyne, Inc.",Y
Lilah,MMM,3M ,"3M COGENT, INC.",Y
Lilah,MMM,3M ,3M ELECTRONIC MONITORING LTD.,Y
Lilah,MMM,3M ,"3M Touch Systems, Inc.",Y
Lilah,MMM,3M ,"KCI Licensing, Inc.",Y
Lilah,MRK,Merck & Co Inc.,Merck Sharp & Dohme Corp.,Y
Lilah,MRK,Merck & Co Inc.,"Merck & Co., Inc.",Y
Lilah,MRK,Merck & Co Inc.,MSD Oss B.V.,Y
Lilah,MRK,Merck & Co Inc.,Merck Sharp & Dohme B.V.,Y
Lilah,MRK,Merck & Co Inc.,Merck Sharp & Dohme LLC,Y
Lilah,MRK,Merck & Co Inc.,"Allflex USA, Inc.",Y
Lilah,MRK,Merck & Co Inc.,Acceleron Pharma Inc.,Y
Lilah,MRK,Merck & Co Inc.,"AFFERENT PHARMACEUTICALS, INC.",Y
Lilah,NKE,Nike Inc.,Celect Inc,Y
Lilah,NKE,Nike Inc.,Converse Inc,Y
Lilah,NKE,Nike Inc.,Nike Innovate C.V.,Y
Lilah,NKE,Nike Inc.,NIKE International Ltd.,Y
Lilah,NKE,Nike Inc.,RTFKT,Y
Lilah,NKE,Nike Inc.,"BAUER HOCKEY, LLC",Y
Lilah,NKE,Nike Inc.,Nike Inc.,Y
Lilah,PG,Proctor & Gamble,Proctor & Gamble,Y
Lilah,PG,Proctor & Gamble,BRAUN GmbH,Y
Lilah,PG,Proctor & Gamble,Gillette Canada Company,Y
Lilah,PG,Proctor & Gamble,BRAUN GmbH,Y
Lilah,PG,Proctor & Gamble,The Procter & Gamble Company,Y
Lilah,PG,Proctor & Gamble,New Chapter Inc,Y
Lilah,PG,Proctor & Gamble,Imflux Inc,Y
Lilah,PG,Proctor & Gamble,Clairol Incorporated,Y
Lilah,PG,Proctor & Gamble,"Tambrands, Inc.",Y
Lilah,PG,Proctor & Gamble,The Gillette Company LLC,Y
Lilah,TRV,Travelers Companies Inc.,Travelers Property Casualty Corp.,Y
Lilah,TRV,Travelers Companies Inc.,The Travelers Indemnity Company,Y
Lilah,UNH,UnitedHealth Group Inc,"Optum, Inc.",Y
Lilah,UNH,UnitedHealth Group Inc,CHANGE HEALTHCARE HOLDINGS LLC,Y
Lilah,UNH,UnitedHealth Group Inc,"Evernorth Strategic Development, Inc.",Y
Lilah,UNH,UnitedHealth Group Inc,"OPTUMINSIGHT, INC.",Y
Lilah,UNH,UnitedHealth Group Inc,UnitedHealth Group Inc,Y
Lilah,UNH,UnitedHealth Group Inc,Aetna,Y
Lilah,UNH,UnitedHealth Group Inc,"Optum Technology, Inc.",Y
Lilah,VZ,Verizon Communications Inc.,Alltel Corporation,Y
Lilah,VZ,Verizon Communications Inc.,AOL Inc.,Y
Lilah,VZ,Verizon Communications Inc.,Cellco Partnership d/b/a Verizon Wireless,Y
Lilah,VZ,Verizon Communications Inc.,GTE Laboratories Incorporated,Y
Lilah,VZ,Verizon Communications Inc.,Verizon Business Global LLC,Y
Lilah,VZ,Verizon Communications Inc.,Verizon Business Network Services Inc.,Y
Lilah,VZ,Verizon Communications Inc.,Verizon Services Corp.,Y
Lilah,VZ,Verizon Communications Inc.,Verizon Corporate Services Group Inc.,Y
Lilah,VZ,Verizon Communications Inc.,Verizon Laboratories Inc.,Y
Lilah,VZ,Verizon Communications Inc.,Verizon Patent and Licensing Inc.,Y
Lilah,WMT,Walmart Inc.,Walmart Global Tech,Y
Lilah,WMT,Walmart Inc.,"Wal-Mart Stores, Inc.",Y
Lilah,WMT,Walmart Inc.,"Walmart Apollo, LLC",Y
Lilah,KO,Coca-Cola Company,Coca-Cola Company,Y
Lilah,SHW,Sherwin-Williams Co,Sherwin-Williams Co,Y
Lilah,SHW,Sherwin-Williams Co,Dupli-Color Products Company,Y
Lilah,SHW,Sherwin-Williams Co,Martin-Senour (Martin-Senour Company / Martin-Senour Paints),Y
Lilah,SHW,Sherwin-Williams Co,Sherwin-Williams Automotive Finishes Corp,Y
Lilah,SHW,Sherwin-Williams Co,Purdy Corporation,Y
Lilah,SHW,Sherwin-Williams Co,Thompson Minwax Company,Y
Lilah,SHW,Sherwin-Williams Co,"Plasti-Kote Company, Inc.",Y
Lilah,SHW,Sherwin-Williams Co,Valspar Sourcing,Y
Lilah,SHW,Sherwin-Williams Co,The Valspar Corporation,Y
Chris,AXP,American Express Co,Accertify,
Chris,AXP,American Express Co,Emnos,
Chris,BA,Boeing Co,Spectrolab,
Chris,BA,Boeing Co,Insitu,
Chris,BA,Boeing Co,Alteon,
Chris,BA,Boeing Co,Wisk Aero LLC,
Chris,BA,Boeing Co,McDonell Douglas Corporation,
Chris,BA,Boeing Co,Jeppesen Sanderson,
Chris,BA,Boeing Co,Rockwell International Technologies,
Chris,BA,Boeing Co,"Autometric, Incorporated",
Chris,AMGN,Amgen Inc,Immunex,
Chris,AMGN,Amgen Inc,BioVex,
Chris,AMGN,Amgen Inc,ChemoCentryx,
Chris,AMGN,Amgen Inc,Horizon Therapeutics,
Chris,AMGN,Amgen Inc,Onyx Pharmaceuticals,
Chris,AMGN,Amgen Inc,TeneoBio,
